"brewery","beer_name","abv","country","style"
"Kereru","Moonless Stout",4.2,"New Zealand","Stout"
"Kereru","Velvet Boot",8,"New Zealand","Belgian Strong Pale Ale"
"Liberty","Oh Brother (Pale Ale)",5.1,"New Zealand","New Zealand Pale Ale"
"Liberty","Yakima Monster (Strong Pale Ale)",6,"New Zealand","American Pale Ale"
"Liberty","Darkest Days (Oatmeal Stout)",6,"New Zealand","Oatmeal Stout"
"Liberty","Yakima Scarlet (Hoppy Red Ale)",6.9,"New Zealand","American Amber / Red Ale"
"Liberty","Sauvignon Bomb NZ Pale Ale)",7,"New Zealand","New Zealand Pale Ale"
"Liberty","Citra (Double India Pale Ale)",9,"New Zealand",
"Little Creatures","Pale Ale",5.2,"Australia","American Pale Ale"
"Little Creatures","Rogers  (Ale)",3.8,"Australia","American Amber / Red Ale"
"Little Creatures","Pilsner",4.6,"Australia","Pilsner"
"Little Creatures","Bright Ale",4.5,"Australia","English Pale Ale"
"Little Creatures","Mr Obadiah (Porter)",6.9,"Australia",
"Mac's Issacs","Hop Rocker",5,"New Zealand","Pilsner"
"Mac's Issacs","Great White",5,"New Zealand","Witbier"
"Mac's Issacs","Sassy Red",4.5,"New Zealand","English Bitter"
"Mac's Issacs","Black Mac",4.8,"New Zealand","Dark Ale"
"Mac's Issacs","Cascade Parade",5.5,"New Zealand","New Zealand Pale Ale"
"Mac's Issacs","Apple Cider",5,"New Zealand","Cider"
"Mac's Issacs","Pear Cider",5,"New Zealand","Cider"
"Mac's Issacs","Berry Cider",5,"New Zealand","Cider"
"Mac's Issacs","Steinlager Light",2.5,"New Zealand","Pale Lager"
"McCashin's- Stoke","Cirrus- Wheat Beer",5,"New Zealand",
"McCashin's- Stoke","Paciﬁc Northwest- Double PA",5.7,"New Zealand",
"McCashin's- Stoke","Shapeshifter- Doppelbock",9.4,"New Zealand",
"McCashin's- Stoke","Cheeky Dark Porter",4.6,"New Zealand",
"McCashin's- Stoke","Rochdale Lemon Honey Cider",5,"New Zealand","Cider"
"McCashin's- Stoke","Arm Twister Imperial Stout",10,"New Zealand",
"Monteith's","Ginger & Pear Cider",5.5,"New Zealand","Cider"
"Monteith's","Heritage Style Cider",5,"New Zealand","Cider"
"Monteith's","Barrel Aged Porter",6.5,"New Zealand","Porter"
"Monteith's","India Pale Ale",5.5,"New Zealand","American IPA"
"Monteith's","Alcoholic Ginger Beer",4.5,"New Zealand","Ginger Beer"
"Monteith's","Unﬁltered Apricot Wheat Beer",5,"New Zealand","Hefeweizen"
"Monteith's","Imperial Pilsner",7,"New Zealand","Pilsner"
"Monteith's","Double Hopped IPA",7.5,"New Zealand","American IPA"
"Mountain Goat","Hopfweizenbock",4.5,"Australia","Weizenbock"
"Mountain Goat","RIPA- Ye IPA",4.5,"Australia",
"Mountain Goat","Surefoot Stout",6.2,"Australia","Stout"
"Mountain Goat","Mike's 3rd Nut",6.5,"Australia","American Brown Ale"
"Mountain Goat","Organic Steam Ale",5.7,"Australia","California Common"
"Mountain Goat","Hightail Ale",5,"Australia","American Amber / Red Ale"
"Mountain Goat","IPA",6,"Australia","American IPA"
"Old Mout Cider","Cranberry & Cider",5.8,"New Zealand","Cider"
"Old Mout Cider","Boysencider ",5.8,"New Zealand","Cider"
"Old Mout Cider","Feijoa & Cider",5.8,"New Zealand","Cider"
"Old Mout Cider","Passionfruit & Cider",5.8,"New Zealand","Cider"
"Old Mout Cider","Pear Scrumpy",8,"New Zealand","Cider"
"Old Mout Cider","Scrumpy",8,"New Zealand","Cider"
"Old Mout Cider","Classic Apple",4.5,"New Zealand","Cider"
"Old Mout Cider","Crafty Pear",4.5,"New Zealand","Cider"
"Panhead","Port Road Pilsner",5.2,"New Zealand","Pilsner"
"Panhead","Quickchange Xtra Pale Ale",4.6,"New Zealand","New Zealand Pale Ale"
"Panhead","Supercharger American Styled Pale Ale",5.7,"New Zealand",
"Panhead","Black Top Oat Stout",5.5,"New Zealand","Oatmeal Stout"
"Panhead","Bitchin IPA",7.7,"New Zealand",
"ParrotDog","BitterBitch",5.8,"New Zealand","American IPA"
"ParrotDog","Bloodhound",6.3,"New Zealand","American Amber / Red Ale"
"ParrotDog","BloodyDingo",7.7,"New Zealand","Imperial / Double Red Ale"
"ParrotDog","DeadCanary",5.3,"New Zealand","New Zealand Pale Ale"
"ParrotDog","Dogg",3.9,"New Zealand","English Mild Ale"
"ParrotDog","FlaxenFeather",4.7,"New Zealand","Blonde Ale"
"ParrotDog","PitBull",7,"New Zealand","American IPA"
"ParrotDog","Otis",6.3,"New Zealand","Oatmeal Stout"
"Samuel Adams","Boston Lager",4.9,"United States*","Vienna Lager"
"Samuel Adams","Boston Ale",4.8,"United States*","American Pale Ale"
"Samuel Adams","Noble Pilsner",4.9,"United States*","Czech Pilsener"
"Sprig & Fern","Motueka Pilsner",5,"New Zealand","Pilsner"
"Sprig & Fern","Berry Cider",4.5,"New Zealand","Cider"
"Sprig & Fern","Tasman Lager",6.5,"New Zealand","Golden Lager"
"Sprig & Fern","Best Bitter",5,"New Zealand","English Bitter"
"Sprig & Fern","Scotch Ale",6.5,"New Zealand","Scottish Ale"
"Sprig & Fern","Doppelbock",8,"New Zealand","Doppelbock"
"Tuatara","Pilsner",5,"New Zealand","Czech Pilsener"
"Tuatara","Hefe Wheat Beer",5,"New Zealand","Hefeweizen"
"Tuatara","IPA",5,"New Zealand","New Zealand Pale Ale"
"Tuatara","NZAPA",5.8,"New Zealand","New Zealand Pale Ale"
"Tuatara","Double Trouble US P.A",9,"New Zealand","Imperial / Double IPA"
"Tuatara","Stout",7,"New Zealand","Stout"
"Zeffer","Dry Apple Cider",5,"New Zealand","Cider"
"Zeffer","Dry Pear Cider",5,"New Zealand","Cider"
"Zeffer","Slack MA Girdle Cider",7,"New Zealand","Cider"
"Baylands Brewery","Red Rye IPA",7,"New Zealand","Rye Beer"
"Baylands Brewery","ENFORCER Black IPA",6,"New Zealand","Black IPA / Cascadian Dark Ale"
"Brew Moon","Hophead IPA",5,"New Zealand","American IPA"
"Brew Moon","Olé Molé",5,"New Zealand","Chili Beer"
"Cassel & Sons","Milk Stout",5.3,"New Zealand","Stout"
"Cassel & Sons","One P.A.",6.3,"New Zealand","American IPA"
"Croucher","Nuclear Free ANZUS",7,"New Zealand","American IPA"
"Croucher","Vicar's Vice",7,"New Zealand",
"Funk Estate","Oh Lordy! Pale Ale",5.9,"New Zealand","New Zealand Pale Ale"
"Funk Estate","Funk'nstein Black IPA",7,"New Zealand","Black IPA / Cascadian Dark Ale"
"Regent ","58 IPA",6.3,"New Zealand","English IPA"
"Regent","59 ESB",5.8,"New Zealand",
"The Leigh Brewing Company","Pilsner",4.5,"New Zealand","Pilsner"
"The Leigh Brewing Company","12 Gauge Strong Lager",6.5,"New Zealand","Golden Lager"
"Wigram Brewing","Harvard Honey Ale",6,"New Zealand","English Ale "
"Wigram Brewing","Mustang Pale Ale",5,"New Zealand","New Zealand Pale Ale"
"Zeelandt Brewing Co","Kolsch Style",5,"New Zealand","Kölsch"
"Zeelandt Brewing Co","Pale Ale ",5,"New Zealand",
"Behemoth Brewing","Celia Wade Coffee Brown Ale",5.5,"New Zealand","American Brown Ale"
"Brewaucracy","Smoko",5,"New Zealand","Rauchbier"
"Dales Brewing","Dale's Belgian Pale Ale",5.4,"New Zealand","Belgian Pale Ale"
"Invercargill Brewery","Pitch Black Stout",4.5,"New Zealand","Stout"
"MOA","Methode",5,"New Zealand","Pilsner"
"Northend Brewing","ESB",5.3,"New Zealand","Extra Special/Strong Bitter"
"Renaissance Brewing","Stonecutter Scotch Ale",7,"New Zealand","Scotch Ale / Wee Heavy"
"Rocky Knob Brewing","Hen Pecked Wheat",5.4,"New Zealand",
"Shunters Yard Brewing","No. 7 Pilsner",5.2,"New Zealand","Pilsner"
"Steam Brewing","""Return Of The Grumpy Boyz"" Porter",9,"New Zealand","Black IPA / Cascadian Dark Ale"
"Sunshine Brewery","Gisborne Gold",4,"New Zealand","Pale Lager"
"The Twisted Hop","Hop Back IPA",5.8,"New Zealand","American IPA"
"Three Boys Brewery","Oyster Stout",6.5,"New Zealand","Oyster Stout"
"Two Fingers Beers","Battering Ram-Doppel Alt (Sticke) German style dark ale",6.5,"New Zealand","Other"
"Two Thumb Brewing","NZ Pale Ale",5.4,"New Zealand","New Zealand Pale Ale"
"Valkyrie Brewing","Freyja (California Common)",6.6,"New Zealand",
"Velvet Worm","Eye Of Jupiter",4.8,"New Zealand",
"Yeastie Boys","Digital IPA",7,"New Zealand","New Zealand Pale Ale"
"Brewcult","Acid Freaks Balsamic Baltic Porter",7.5,"Australia","Baltic Porter"
"Bridge Road Brewers","Bling Bling",8.5,"Australia","Imperial / Double IPA"
"Bridge Road Brewers","Chevalier Saison",6,"Australia","Saison / Farmhouse Ale"
"Burleigh Brewing","HEF",5,"Australia","Hefeweizen"
"Feral Brewery","HopHog",5.8,"Australia","American IPA"
"Feral Brewery","Boris",11.5,"Australia","Russian Imperial Stout"
"Holgate Brewhouse","Holgate Temptress",6,"Australia","Porter"
"Matilda Bay Brewing","Alpha Pale Ale",5.2,"Australia","American Pale Ale"
"Moo Brew","Seasonal Stout",8,"Australia","Stout"
"Murrays","Grand Cru",8.8,"Australia","Belgian Tripel"
"Murrays","Wild Thing",10,"Australia","American Imperial / Double Stout"
"Nail Brewery","Clout Stout",10.6,"Australia","Russian Imperial Stout"
"Stone & Wood Brewing","Paciﬁc Ale",4.4,"Australia",
"The Monk","Chief",6.1,"Australia","American IPA"
"Two Birds","Sunset Ale",4.6,"Australia","American Amber / Red Ale"
"Two Birds","Golden Ale",4.4,"Australia","Golden Ale"
